Elevation,Soil_Type32,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Cover_Type
2988,0,2366,1461,2
3133,0,2112,633,1
3201,0,5460,2255,1
3012,0,4370,902,1
3121,0,664,1561,1
2878,0,2393,2414,2
3278,0,1943,732,1
2481,0,741,430,2
3357,0,1532,1698,7
2867,0,2656,1126,2
2824,0,1103,2731,2
2981,0,5191,2931,2
3241,0,703,2550,1
2962,0,2203,1770,1
2913,0,2647,2308,2
2770,0,1448,969,1
2879,0,437,499,2
2519,0,90,1749,3
2858,0,1931,1661,2
3037,0,2078,1443,1
2498,0,782,900,3
3312,0,2160,2190,2
3065,0,1762,301,1
3242,1,4242,631,1
2669,0,1398,1020,2
2458,0,362,1879,3
2972,0,3956,4694,2
2774,0,2010,1422,2
3334,0,4459,2420,1
2949,0,4617,6409,2
2519,0,1200,977,3
3116,0,2092,2791,1
3092,0,1061,2710,1
2275,0,1655,871,6
2606,0,2845,2098,2
3096,0,1772,824,2
3197,0,5995,2952,2
3237,0,2068,201,7
3001,0,3937,2537,2
3132,0,4743,1895,1
2725,0,1040,2014,2
3157,0,2331,1423,1
3096,0,2958,1235,1
3010,0,3814,2301,2
2729,0,1464,2026,2
3276,0,5868,2806,2
3029,1,42,1203,2
2968,0,5145,2565,1
2898,1,2080,932,2
2857,0,3463,1664,2
3220,1,1099,566,1
2939,0,5292,2156,2
3213,0,1019,2184,1
2860,0,2040,2894,2
2855,0,743,646,2
3060,0,3919,4054,2
3240,0,1410,2640,2
3221,0,3919,2192,1
2960,0,1443,2103,2
2982,0,4422,5468,2
2912,0,1992,1981,2
3311,0,3966,2352,7
2971,0,511,633,1
3231,0,1473,3328,1
2759,0,1731,2380,2
2980,0,5436,1101,2
2985,0,4442,2981,1
2918,0,4518,4133,2
3120,0,834,1082,1
2422,0,603,499,3
3249,0,3529,1831,1
2780,0,3532,3048,1
2809,0,1524,2250,2
2538,0,962,1323,3
3005,1,1879,2226,2
2307,0,120,934,3
2896,0,4360,1448,2
3487,0,1500,1924,7
3064,0,1664,2496,2
2920,0,2812,1431,2
3105,1,2331,2215,1
2922,0,1015,1907,2
2782,0,1401,2293,1
2972,0,4155,5342,2
2986,1,2067,2165,2
3107,0,1266,2259,1
2814,0,3483,2818,2
2917,1,2012,953,2
3200,0,1104,2572,1
2889,0,1410,1608,2
2944,0,3348,2277,2
2717,0,1500,2282,2
3045,0,2800,1121,2
3252,0,4093,1209,1
2955,0,2148,2716,2
3266,1,3227,1187,2
2985,0,5047,5713,2
3364,0,2943,495,7
2685,0,977,1939,2
2829,1,1261,849,1
3186,0,2754,2836,1
2324,0,1253,1265,3
2973,0,1673,3530,1
2644,0,1332,1158,2
3185,0,1293,2424,2
2913,0,5367,5500,2
2741,0,1412,1507,1
3411,0,1136,1587,7
2641,0,1290,607,5
3035,1,3327,1047,2
2780,0,1936,2674,5
2820,0,283,1598,2
2244,0,513,1837,3
3049,1,2954,1110,1
2875,0,1991,2779,2
2789,0,1747,1771,2
2997,0,1113,601,2
2999,1,2916,684,2
3097,0,1966,1803,2
2672,0,1423,1353,6
2913,0,4237,6312,2
2934,0,2375,1981,2
3250,0,1290,3120,2
3239,0,3060,212,7
3181,0,5750,1800,2
2766,0,2379,395,1
2962,0,5160,4959,2
2944,0,404,2285,1
3106,0,404,1350,2
2991,0,4818,3121,2
3031,0,3039,1714,2
3017,0,4224,1112,2
3068,0,3037,987,1
3088,0,3372,787,1
3015,0,4774,212,2
2723,0,2313,5155,2
2437,0,1040,1026,3
3261,1,4521,726,1
3003,0,474,830,2
3138,0,2442,1597,1
2247,0,977,1318,4
2997,0,890,1348,2
2786,0,1595,1359,2
3022,0,2972,2101,2
3264,0,3420,4286,1
3159,0,2363,404,1
2636,0,1146,1423,2
2955,0,4468,5377,2
3034,0,3439,1024,2
3013,0,2289,1158,2
2746,0,2609,2192,2
2658,0,592,1939,2
2922,0,5139,3128,1
2981,0,3748,2704,2
2797,0,3017,2563,2
2990,0,1471,781,1
2893,0,2699,934,2
2771,0,2955,1852,2
3271,0,6024,391,1
3185,0,4997,3207,1
2653,0,1830,1266,3
2916,0,5269,4066,2
3022,0,4083,2461,2
3137,0,2024,3583,1
3099,0,2167,150,1
3435,0,4116,2613,7
3256,0,2288,2222,7
2422,0,543,1027,3
3141,0,5268,1136,2
2226,0,180,256,3
3088,0,2375,3530,1
2953,0,360,1205,2
3237,1,2636,1052,1
3041,0,1664,421,2
2931,0,480,1681,2
3243,0,4595,1190,1
3143,0,2591,2543,1
3038,1,1350,1132,2
2988,0,4435,3031,1
2926,0,930,1818,2
3298,0,3734,968,7
3299,0,1395,1379,1
3117,0,5609,2678,2
3191,0,2714,2644,7
2571,0,2869,2268,2
2858,0,4161,741,2
2525,0,488,618,2
3128,0,2790,481,1
2649,0,630,1624,2
3537,0,2657,1065,1
3118,0,1409,3084,2
2805,0,942,2135,2
3213,1,1888,2349,1
2870,0,4701,4689,2
3110,0,540,2064,1
2978,0,5931,4186,2
3139,0,1366,300,1
2850,0,2281,1935,2
2918,0,2457,1832,2
2821,0,2967,150,2
3344,1,2024,2055,1
3170,1,2376,1019,1
2570,0,1777,1932,2
3007,0,258,713,1
3390,0,1500,962,7
2925,0,960,1008,2
3246,0,2934,3043,2
3289,0,646,2807,2
2508,0,1556,1158,3
3204,0,1414,301,1
2968,0,5903,4213,2
3001,0,5336,1208,2
2378,0,513,1365,6
3335,0,1740,2137,1
2925,0,510,1711,2
3510,0,1260,716,7
2922,0,993,579,2
3043,0,5120,3647,2
2929,0,5559,3795,2
3060,0,3417,2873,1
3119,1,2519,560,2
3069,0,2205,242,2
3168,0,4252,1084,1
2939,0,5370,2162,1
3289,0,4158,1826,1
3101,0,1033,1677,1
3222,0,6062,2185,2
3104,0,1276,2322,1
3384,0,671,42,7
3180,1,2764,999,2
2647,0,2496,6820,2
3230,0,1776,458,1
3327,0,3446,459,1
3079,0,1490,1398,1
3014,0,5194,5259,2
3296,0,1277,2451,2
3113,0,484,845,1
2798,0,1323,2805,1
3336,0,3912,2322,2
3047,1,2733,1570,1
3480,0,3140,1727,1
2537,0,1541,4578,2
3223,0,2821,1008,1
2973,0,644,2135,2
2910,0,1734,2661,2
2820,0,3194,1538,2
2907,0,228,1398,1
2767,0,1256,1213,2
3116,0,4213,4392,1
2761,1,1288,845,2
3201,0,1771,1871,2
3148,0,2810,1024,1
3182,0,5645,1321,2
3267,0,1230,1682,1
3242,0,2701,1284,1
2553,0,335,1422,2
2945,0,5208,1785,2
2891,0,966,458,2
3193,1,1919,488,1
2775,0,2138,730,2
2926,0,3918,6423,2
3217,0,1631,2674,1
2847,0,3024,2052,2
2993,0,4360,1846,2
2595,0,1194,1230,3
3155,0,5633,2250,2
2894,0,1061,576,2
3248,1,4317,595,1
3230,0,2793,2408,1
2872,1,1594,1478,2
2413,0,1064,1026,3
3204,0,2356,4065,1
2960,0,1213,513,1
3000,0,3728,2292,1
3184,0,1931,1961,1
3244,0,2529,2636,1
3134,0,2280,3121,1
3503,0,2249,1456,1
3057,0,1536,693,1
2944,0,2439,1112,2
2792,0,2592,4090,2
3228,0,4206,2666,1
2645,0,2301,994,3
3202,0,2371,1574,1
3234,0,2357,1588,1
2759,0,1725,2886,2
2867,0,828,2026,2
3033,1,3160,702,2
3217,0,2072,854,1
3584,0,1698,1583,7
3240,0,1233,3060,2
2962,0,4357,1900,2
3112,0,1312,1350,1
2561,0,900,6468,2
2906,0,721,2353,2
2579,0,1362,1616,5
2920,0,2179,1395,2
3050,1,2177,319,2
2736,0,2884,6428,2
3257,0,3353,2624,2
2681,0,2280,806,2
3253,0,5808,1201,1
3051,0,4646,666,2
3248,0,2713,1655,7
3325,1,1316,2242,1
3247,0,3713,3036,1
3123,0,3947,3097,2
2979,0,424,1441,2
2972,0,4630,2774,2
3275,0,1230,1708,1
2808,0,2687,2681,2
2936,0,4480,5894,2
2954,0,1181,2105,2
2796,0,2599,3934,2
3068,1,1358,569,2
2887,0,1209,1570,1
2975,0,5887,3084,2
3251,0,1954,2089,2
3223,0,3690,1652,1
3184,0,993,1829,2
3205,0,4709,1451,1
2959,0,4592,6333,2
3196,0,1610,2505,1
2783,0,832,932,2
3064,0,3550,741,1
3223,0,4870,2391,1
2434,0,1022,1416,3
2536,0,402,595,3
3113,0,4891,2322,1
3143,1,2182,646,2
3273,0,3721,2618,1
2955,0,4773,2596,2
2942,0,5820,6430,1
2920,0,1291,3170,1
3065,1,3212,1110,2
2707,0,1839,6150,2
3105,0,2776,1290,1
2948,0,735,1426,2
3028,0,1793,1481,1
2965,0,4618,3113,1
3004,0,5762,4780,2
3071,0,810,361,2
3191,0,4481,1974,1
3243,0,1909,1594,1
2719,0,1388,2107,2
2749,0,1360,2638,2
2579,0,860,1536,2
3040,0,2597,1190,2
2986,0,1379,313,1
3044,0,6000,3737,2
2886,0,1969,2843,2
2984,0,962,2899,2
2810,0,1358,726,2
2569,0,1273,5094,2
3092,0,1510,458,2
2735,0,2695,5555,2
3246,0,1234,1616,7
2038,0,573,430,3
2611,0,785,1500,5
3199,0,2084,1265,2
3218,0,3132,4790,1
2951,0,2555,1406,2
2940,0,1266,2584,2
2784,0,1739,503,2
3227,0,1075,2012,1
3017,0,907,1566,2
2899,0,2163,720,2
3037,0,5703,3241,2
2791,0,1057,2638,2
3144,0,3024,3151,2
2977,0,1801,2623,1
2907,1,872,424,2
3150,0,4389,1936,2
3203,0,1513,878,1
3090,0,2160,1879,1
3292,0,2147,2836,7
2913,1,1861,1371,2
3246,0,5775,3000,2
3218,0,3999,658,1
3079,0,2731,3631,1
2183,0,458,934,3
2403,0,1116,949,3
3178,0,3204,3571,1
2965,0,5609,4468,2
2201,0,616,162,6
2728,0,153,1515,5
3220,0,1302,2024,1
2922,0,4142,4836,2
3161,0,474,2676,1
2972,0,3288,6366,2
3146,0,3424,3055,2
2760,0,175,1379,5
3517,0,2591,1054,1
2030,0,319,524,6
2817,0,1470,942,2
2737,0,2442,6909,1
2647,0,1492,6414,2
2525,0,384,1507,6
2317,0,700,162,3
3096,0,2858,1294,2
3231,0,1698,2663,1
2304,0,931,604,3
2998,0,3871,2604,2
2959,0,4498,5126,1
3062,0,2214,1253,1
3095,0,684,872,2
2347,0,1465,886,3
2875,0,2145,1129,5
3342,0,4471,3430,7
2988,0,3243,1959,2
2978,0,2942,1572,2
3220,0,2352,488,1
2656,0,722,2121,2
3128,0,3212,774,2
2626,0,1716,2751,3
2711,0,1714,2841,2
3186,1,2941,2300,2
2883,0,3521,3210,2
2947,0,510,1676,2
3042,0,150,1371,2
2942,0,5829,4307,2
2564,0,1528,1184,2
2922,0,3730,4172,2
2666,0,1867,400,3
2843,0,2200,1826,2
2919,0,4066,5635,2
2955,0,3417,6162,2
2712,0,2037,4460,2
2700,0,953,1302,2
2572,0,1253,4147,2
2901,0,2837,1641,1
2959,0,3705,5604,2
2947,1,2227,424,1
2346,0,1426,552,3
3136,0,3937,3290,2
2664,0,2520,2363,2
2564,0,854,459,2
2962,0,5462,3613,2
3214,0,938,1982,1
3077,1,3000,900,1
2386,0,540,454,3
2860,0,2892,2725,2
2310,0,1055,256,3
2732,0,1082,2316,2
2975,0,5881,3192,2
2997,0,384,2001,2
3263,0,5400,247,2
2704,0,108,1868,5
2795,0,90,972,2
2994,0,2221,3261,2
3032,0,2227,920,2
3209,0,1295,1290,7
2979,0,2739,2483,2
2856,0,3328,1690,3
2551,0,484,1138,2
3070,0,3463,2244,1
2939,0,3182,1959,2
3091,1,480,1266,2
2897,0,2271,780,5
2975,0,5421,1849,2
3362,0,1814,3143,7
2985,1,1924,764,2
2941,0,2242,2055,1
2653,0,1332,886,2
2969,0,421,1605,1
3077,0,3150,2140,1
3209,0,3115,1458,1
3205,1,3247,860,1
3141,0,5402,2022,1
3152,0,3716,1347,1
2981,0,459,1338,1
3010,0,3620,5079,2
2873,0,192,960,1
2701,0,1693,904,2
3387,0,3474,382,1
2890,0,6191,4357,2
2931,0,2254,1712,1
3032,0,1146,513,2
3008,0,4101,1263,2
3290,0,5611,454,2
2913,0,524,1604,2
3315,0,2455,524,7
2924,0,2529,1739,2
2931,0,4574,2307,2
3063,0,2673,890,1
3184,0,3398,2366,2
2773,0,1443,1001,2
2949,1,940,2343,2
3240,0,5482,2874,2
3031,0,5392,4424,1
2950,0,3635,2460,2
2953,0,5516,1187,2
3156,0,3522,964,2
3287,0,1954,785,1
3177,0,660,1500,1
2287,0,886,182,3
3032,0,2241,1784,2
3033,0,837,240,1
2993,0,1706,1578,1
3312,0,3461,2106,7
2607,0,1848,2037,6
3279,0,4604,708,2
3002,0,384,774,2
2248,0,1591,875,3
3228,0,5593,3001,2
3010,0,5370,2297,1
3024,0,6439,3408,2
2670,0,1360,713,5
3018,0,3751,4888,2
2554,0,984,3865,2
3304,0,1406,900,1
2916,0,4667,6139,2
2748,0,1610,3154,2
2926,0,1771,2851,2
3006,0,2402,2873,2
3210,0,95,811,2
3362,0,2093,2802,2
3309,0,2215,2300,1
3076,1,2638,1812,1
2938,0,1879,1052,2
2639,0,582,1771,2
2733,0,2163,1499,2
3277,0,5880,592,1
2976,1,108,1150,2
2798,1,2877,1584,2
2727,0,1517,1104,2
2949,0,5645,3729,1
2686,0,842,1697,2
3072,0,285,1187,1
3287,0,1681,934,1
3236,0,4582,382,1
3243,0,511,1689,1
3259,1,1266,902,1
3278,1,258,524,2
3255,0,1064,2126,2
2576,0,1129,721,2
2887,0,1800,1374,2
2900,0,5205,655,2
3223,0,3309,845,1
3239,0,3159,3191,1
3129,0,3233,3046,1
3001,0,2798,778,2
2936,0,4632,3962,1
3193,0,1756,2331,1
2783,0,2270,626,2
2995,0,902,924,1
2730,0,300,2522,2
2665,0,1463,1825,2
3177,0,2170,2737,1
2866,0,787,1173,2
2347,0,892,484,4
3031,1,1115,1989,1
3018,0,1832,2833,1
3135,0,5636,2950,2
3361,0,2748,1865,7
3100,0,3950,3400,2
3508,0,2383,1261,1
3355,0,571,990,1
3269,0,1892,1537,1
3419,0,1645,1265,7
3074,0,1074,3216,1
2842,0,2639,2371,2
3237,0,3684,3560,1
3098,0,1846,408,1
3358,1,2512,1959,1
2593,0,1181,430,2
3242,0,1041,1836,1
3129,0,2073,514,1
2514,0,771,808,2
3157,0,886,1050,1
2834,0,1146,1057,2
3187,0,1471,2532,1
3166,0,5363,2614,2
3158,1,2242,1101,1
3057,0,2827,6021,1
2753,0,552,1590,2
3206,0,4896,1765,1
3265,0,1485,1947,1
3408,0,3903,2582,2
3094,0,4672,2949,1
2972,0,4407,1761,2
3237,0,866,1415,2
2281,0,474,446,3
3409,0,1590,726,7
3014,0,4680,443,2
2894,0,4383,1266,2
2553,0,270,1454,2
3332,0,3515,1507,1
3073,0,3430,2954,2
3187,1,1276,2106,2
2976,0,5196,400,2
3112,0,2708,1226,1
2764,0,3017,5484,2
3399,0,3181,1924,1
2724,0,2750,2510,2
3100,0,3034,1570,2
3149,0,3779,3378,1
2835,0,1911,2391,1
2630,0,1250,1325,3
3246,0,722,2520,1
2475,0,691,1567,3
2848,0,2687,2464,1
3028,0,3271,1765,1
3006,0,2571,1613,2
2457,0,841,1471,6
3021,0,5137,1082,2
3213,0,5721,768,1
2962,0,5053,6452,2
3003,0,2427,1231,1
3144,0,1911,2069,2
2730,0,2100,1302,2
2900,1,700,1116,2
2993,0,541,1749,1
3107,0,1558,3427,1
3083,1,2590,1682,2
3160,0,5443,2042,2
3282,1,845,2605,2
3081,0,1600,1065,1
2873,0,1062,1800,1
3138,0,3099,1064,1
2897,0,2737,1003,2
3218,0,4884,2353,1
3070,0,5616,2125,2
2725,0,2385,5390,2
2213,0,685,693,3
2387,0,1208,745,3
3253,0,3959,2506,7
3156,0,3081,807,2
3154,0,1307,2554,1
3405,0,2416,2220,1
2773,0,3885,1869,2
2935,0,1936,2060,2
3031,0,4642,1950,2
3283,1,4595,808,1
3197,0,5555,916,1
3210,0,2779,836,1
2818,0,2290,752,2
3134,0,4834,2974,1
3130,1,2143,878,1
3060,0,6644,2875,2
2666,0,3045,2818,1
3118,0,1256,2103,1
3086,0,1114,3368,2
2994,1,1200,2502,2
3017,0,2577,914,1
2922,0,5544,3803,2
3245,0,2676,1176,2
3064,0,513,765,2
2890,0,3161,2193,2
2968,0,1405,1708,2
3075,0,3282,1146,2
3202,0,849,2329,2
3218,0,1501,3341,1
3309,0,1296,2513,2
3275,0,1560,2707,1
3026,0,2521,2047,2
3109,0,6721,2704,2
3080,1,591,1273,1
3171,0,1521,1745,1
3021,0,5250,5712,2
2901,0,2081,1950,2
3493,0,1524,1959,7
3021,0,5750,2128,2
2948,0,1851,2532,1
3006,0,2460,1350,2
3257,0,1184,2100,1
2526,0,1655,1104,2
2562,0,516,1448,6
3168,0,3194,997,1
3137,1,2532,503,1
3335,0,3720,1889,7
2879,0,1426,2737,2
2763,0,1632,1973,2
2953,0,721,2053,2
3302,1,3238,1209,2
3168,0,5850,2285,2
2702,0,2188,4987,2
2719,0,1205,1167,2
3100,0,451,841,1
3036,0,474,1413,2
3036,0,2444,3042,2
3141,1,2402,882,2
2932,0,2279,1328,1
3211,0,2859,4524,1
2957,0,2782,569,2
3201,0,309,4227,2
2506,0,480,1495,3
3068,0,3636,1660,2
3194,0,2389,2809,1
2880,0,5620,1024,2
2586,0,1419,1213,3
3171,1,2741,927,2
2515,0,2316,2271,2
2952,0,1806,1273,2
2945,0,3055,1573,2
3096,0,5085,2778,1
2789,0,3144,5270,2
2238,0,870,722,3
3211,0,4008,2192,1
2626,0,680,1635,2
2980,0,3587,1026,2
2973,0,2674,1230,2
2723,0,1054,2070,1
3091,0,5152,2724,1
2854,0,3534,6202,2
2662,0,1867,1632,2
2664,0,1312,480,2
3309,0,1358,2995,1
2959,0,5778,4176,2
2644,0,1650,2188,3
2837,0,631,2670,2
3159,1,930,1465,2
3331,0,1621,2180,1
3131,0,2954,3900,1
3223,0,2375,2613,1
3124,0,2856,2770,2
2409,0,607,1191,3
3172,0,931,2419,1
3222,0,5965,1664,1
2846,0,2400,997,1
3353,0,4632,4417,7
3517,0,2524,1708,1
3218,0,2066,3196,1
3157,0,751,1692,1
2651,0,2281,2285,6
2926,0,2372,379,2
3246,1,1959,1863,1
3375,1,2418,3455,1
2842,0,2580,800,1
3204,0,1121,1565,1
2834,0,3290,4945,2
3200,0,805,1663,1
2922,0,5152,3861,2
2959,0,1129,570,1
2944,0,1989,516,2
3098,0,1155,1201,2
2997,0,319,1347,1
2986,0,108,990,1
2332,0,268,283,6
3149,1,3398,1537,2
3314,0,3369,3520,7
3027,1,2940,552,2
2922,0,1921,1905,2
3130,1,3073,420,1
3280,0,5079,700,2
3358,0,1956,2074,1
2881,0,1473,2501,2
2763,0,1800,1290,2
2991,0,967,2230,1
2702,0,1606,1099,2
2608,0,1410,1786,2
3427,0,1710,607,7
2753,0,1087,1498,2
2705,0,339,1116,2
2985,0,5354,6515,1
2800,0,2315,797,2
2777,0,2768,1991,2
2182,0,1426,765,3
3072,0,1529,450,2
3161,0,3195,2486,1
3089,0,1294,1470,2
2564,0,1302,636,3
2093,0,466,666,3
2855,0,2750,1806,2
3044,0,5526,2101,2
2858,0,1863,1956,2
3441,0,2634,1082,7
2998,0,2170,2773,1
2926,0,5006,1380,2
3040,1,1107,1879,1
2718,0,1206,671,2
2959,0,5392,4484,2
3322,0,2030,1421,1
2966,0,379,1627,1
3004,0,2486,1236,1
3394,0,1765,3059,7
3242,0,1847,1986,1
3371,1,1470,2481,7
3030,0,1019,1714,1
3417,1,2850,1717,1
2820,0,633,1318,2
2762,0,1640,2367,2
3229,0,4641,2026,1
2879,0,1608,2524,2
2932,0,1608,1134,2
2942,0,4527,5284,2
2997,1,2448,1693,2
3257,0,2837,510,1
3396,0,3449,2543,7
3061,0,1622,1345,1
3349,0,1559,1475,1
2777,0,1556,2502,2
2892,0,2643,2226,2
2983,0,484,914,2
2939,0,2213,1471,2
3440,0,4945,768,1
2666,0,1702,2630,3
3034,0,4353,2642,1
3121,0,3598,888,2
2422,0,421,1328,6
3175,0,1856,1528,2
2754,0,1598,1959,3
2975,0,4916,5517,2
2853,0,1438,1442,1
3120,0,4866,2388,1
2562,0,1020,391,2
3152,0,2563,400,1
2981,0,1910,2592,2
3284,0,1415,2766,1
2747,0,313,1218,2
2972,0,3386,6210,2
3342,1,716,1756,7
2618,0,1282,285,2
2478,0,541,940,2
3297,0,1895,2460,1
3369,1,2408,2083,1
3004,1,1712,1597,2
3317,1,2314,947,1
3179,0,3417,404,2
2988,0,1867,1325,2
3286,0,1906,1489,1
3393,0,1489,966,7
3051,0,5261,698,2
2601,0,1218,1253,3
2847,0,703,192,1
3311,0,3830,2177,2
3154,0,382,5743,1
2899,0,3328,2497,2
3107,1,1676,618,2
3258,0,3393,3439,2
2808,0,2643,1531,2
2715,0,120,1924,5
2573,0,942,1399,3
2611,0,731,6129,2
2906,0,1328,2102,2
2169,0,330,484,2
3158,0,1380,2192,1
2635,0,1928,987,1
2735,0,1074,677,2
2897,0,1666,2107,2
2677,0,876,1208,2
3067,0,420,1756,2
3088,0,1263,1531,2
3228,0,3664,3055,1
2926,0,4641,5779,2
3059,0,4778,2226,2
2780,0,1448,1276,2
3330,0,2789,902,1
3080,0,1677,693,1
2920,0,2862,1224,2
2835,0,2907,2214,2
3104,0,2989,658,1
2745,0,1353,2584,2
2840,0,3410,6225,2
3064,0,3059,5854,1
2708,0,2164,636,2
2834,0,2016,1860,2
2932,0,3896,5643,2
2949,0,5712,3108,2
3335,0,3903,1566,2
2845,0,85,1448,1
3083,0,1025,1150,2
3008,0,4519,2780,2
2974,0,2695,1788,1
3296,0,3206,2006,1
2961,0,3115,2117,2
2767,0,1953,2574,2
3055,0,1761,330,1
3120,0,2914,2761,2
3011,0,5352,1860,2
3082,0,5006,1154,1
2877,0,4950,371,2
2994,0,285,646,1
2837,0,2962,2205,1
2777,0,2835,1935,2
3045,0,3341,2437,1
2931,0,1319,541,2
3114,0,3565,1323,1
2840,0,2123,2502,2
2882,0,1015,658,2
2757,0,1650,2100,2
3250,0,1355,2731,1
3165,0,4303,2042,1
2857,0,1530,2221,2
2535,0,895,732,2
3061,0,2010,2583,1
3109,0,1144,1237,2
3284,0,3734,2568,1
2762,0,1566,2826,2
2292,0,932,1431,3
3452,0,4967,4328,7
3113,0,4360,3759,1
3107,0,2856,3035,2
2619,0,1140,1674,6
3408,0,4095,3770,7
2810,0,2451,2826,2
3258,0,4414,2079,1
3149,0,2483,1873,1
3707,0,5320,3582,7
3169,0,1288,2430,1
2935,0,1441,342,2
3007,1,2837,708,2
2157,0,1431,713,3
3122,1,2053,2516,1
2881,0,3564,3621,2
3272,0,3059,3335,2
3129,0,2770,3502,1
2901,0,3212,2503,2
3098,0,4715,1282,1
2749,0,2707,6686,2
2878,0,845,379,1
3166,0,4566,2062,2
2795,0,3008,5965,2
3082,0,1664,624,2
3112,0,4158,2014,2
3104,0,5210,2858,1
2794,0,882,1146,2
3118,0,85,4135,2
3034,0,1869,2368,2
2671,0,1271,1595,2
3352,0,1140,1423,7
2870,0,4298,5063,2
2812,0,1284,1140,2
2530,0,741,859,1
2723,0,2760,547,2
3306,0,3578,2016,7
3283,1,3428,1678,1
3148,1,1291,2560,1
2374,0,569,1323,2
3140,0,1332,2308,1
2955,0,5530,4224,2
3397,0,1390,1802,7
3280,1,3293,1476,1
3180,0,319,4737,2
3113,0,5330,1350,1
3218,0,2131,4455,1
2343,0,774,592,3
3031,1,1380,1250,2
2870,0,1556,2273,2
2640,0,1158,598,2
3124,0,297,1655,1
3447,0,2419,1260,1
3119,0,1758,764,1
3260,0,5573,1072,2
2996,0,516,2325,1
2967,0,3565,1279,2
3275,0,655,1430,1
3004,0,3947,2337,2
3005,0,3955,1761,2
2748,0,1326,1006,2
3223,0,4442,1290,1
2703,0,1120,1714,2
2680,0,2922,6393,2
3086,0,2160,636,1
2675,0,1825,2423,2
3147,0,576,5112,2
2991,0,6134,4114,2
2988,0,4737,3704,1
3428,0,4102,816,1
2899,0,2389,509,1
3454,0,4092,4045,7
3093,0,6479,2886,2
3042,0,1358,755,1
3028,0,3376,391,1
2167,0,914,564,3
3256,1,1234,2561,2
2598,0,408,1862,2
3172,0,1976,1909,1
3087,1,2173,2510,2
2653,0,180,633,2
3039,0,4722,2015,2
2607,0,443,331,3
3188,1,1024,2835,1
3241,0,1613,2818,1
2945,0,4627,4425,2
3132,0,3528,674,2
2718,0,1921,4380,2
2952,0,1772,2697,1
3385,1,3609,1608,1
2536,0,721,1501,2
3217,0,1632,2646,1
2762,0,2892,2038,2
3217,0,883,1358,2
3265,0,4118,2979,1
3055,0,1128,1825,2
2350,0,1277,362,6
3139,0,175,3360,2
3193,0,5484,2837,2
3582,0,3241,1213,1
3225,0,1826,2329,1
3239,0,3548,2387,1
3178,0,3499,3062,1
2776,0,2216,1687,2
3089,1,2730,1936,2
3113,0,3561,745,1
3164,0,3212,2470,1
2892,0,2594,1670,1
3079,0,2039,1768,1
2621,0,577,1050,2
2703,0,1177,3144,2
2782,0,2313,924,2
2810,0,1470,1128,2
3245,0,1179,306,1
3332,0,2652,603,7
2428,0,691,1104,3
3060,0,3271,5766,2
2829,0,1702,2374,2
3049,1,2486,1298,2
2652,0,612,2538,2
2915,0,5047,484,2
3118,0,5398,2949,2
3385,0,3224,2046,7
2976,0,2547,277,1
3106,1,2791,1442,2
2912,0,1144,1130,2
2578,0,937,1434,3
2890,0,3205,1632,1
3177,0,3625,283,1
3064,0,1176,1326,1
3090,0,4072,2072,2
2983,0,1776,3593,1
2735,0,1075,1450,6
2966,0,4653,2461,1
3107,0,1932,2429,2
3080,0,4446,2496,2
2559,0,1798,1358,6
2605,0,1461,1041,3
3159,0,3226,4937,1
2761,0,2376,331,1
2713,0,1931,175,1
1957,0,300,573,6
3400,0,1616,2932,7
3181,0,5416,1047,1
3321,0,679,4524,1
2987,1,1187,2258,2
3121,0,4189,3500,1
3058,0,3230,1332,2
2783,0,666,454,5
3321,1,3341,1332,2
3089,0,1727,658,1
3087,0,875,1359,1
2949,0,2771,2534,2
2997,0,2697,2563,2
2905,0,1890,2081,2
3129,1,1855,2616,1
3172,0,2644,1790,1
3023,0,914,2739,1
3112,0,5221,2120,1
2769,0,2843,2041,2
3027,0,2790,1530,2
3337,0,2483,2654,1
3177,0,210,685,1
2747,0,2140,914,2
2919,0,2708,1361,2
3211,0,711,834,2
2645,0,1290,513,2
3373,0,1026,666,1
3330,1,3522,1489,1
2581,0,1879,1950,3
3131,0,866,1959,1
3037,0,870,1413,1
3207,0,5860,2826,2
2588,0,1592,1176,3
3168,0,4586,1842,1
3176,0,892,2347,1
2946,0,1410,3237,1
2537,0,1221,492,3
3471,0,2532,990,7
1963,0,192,752,3
3209,0,234,2212,1
3185,1,713,2064,2
2840,0,4410,4938,2
2128,0,1026,700,6
3196,0,785,4838,2
2965,0,5259,4433,2
2864,0,2310,2398,2
2988,0,1128,2241,2
3198,0,2298,1556,1
2674,0,350,351,2
3111,0,1766,306,1
3267,0,5706,633,1
2835,0,638,2201,2
3244,0,1812,2529,1
3322,0,3544,2632,2
3348,0,2922,849,7
2141,0,484,607,3
3356,1,900,2101,7
3045,0,671,1572,2
3222,0,5936,3221,2
2855,0,3422,5196,2
2510,0,2088,242,3
2824,0,3488,5983,2
2231,0,607,1758,3
3065,0,1587,1423,1
2666,0,849,553,2
3078,0,1224,1600,1
3329,0,3958,2170,1
3405,0,3246,1866,7
3381,0,3455,2230,7
3204,0,3355,1351,1
2877,0,4198,6064,2
3244,0,2751,1694,7
3148,1,335,2791,1
2988,0,5282,977,2
2635,0,3282,2469,1
3295,0,5444,450,1
2487,0,828,1454,2
3216,0,1914,870,1
